pip_auc_percentile,pip_auc_score
0,0
0.001,0.0015072
0.002,0.0050144
0.003,0.0092
0.004,0.0123872
0.005,0.01499
0.006,0.0165728
0.007,0.01833
0.008,0.0219304
0.009,0.0229648
0.01,0.02418
0.011,0.0253
0.012,0.0261296
0.013,0.0282872
0.014,0.0300544
0.015,0.0311
0.016,0.0324152
0.017,0.0336672
0.018,0.0345648
0.019,0.0363104
0.02,0.037388
0.021,0.0386048
0.022,0.0394376
0.023,0.0406452
0.024,0.0412
0.025,0.04187
0.026,0.0425936
0.027,0.0434888
0.028,0.0442008
0.029,0.0448352
0.03,0.045808
0.031,0.0474348
0.032,0.0486912
0.033,0.0516692
0.034,0.0525224
0.035,0.053426
0.036,0.0543664
0.037,0.0562996
0.038,0.0585048
0.039,0.0594404
0.04,0.0601
0.041,0.062276
0.042,0.0631024
0.043,0.0650096
0.044,0.065592
0.045,0.0664
0.046,0.067556
0.047,0.0685076
0.048,0.0701192
0.049,0.0723112
0.05,0.07358
0.051,0.0750836
0.052,0.0762848
0.053,0.0770908
0.054,0.0785552
0.055,0.079298
0.056,0.0810048
0.057,0.081726
0.058,0.0836088
0.059,0.084324
0.06,0.0854
0.061,0.0862
0.062,0.0866552
0.063,0.0878536
0.064,0.0889912
0.065,0.089972
0.066,0.0911256
0.067,0.0925
0.068,0.0934896
0.069,0.0946452
0.07,0.0952
0.071,0.0963668
0.072,0.0970368
0.073,0.0985884
0.074,0.0990328
0.075,0.09954
0.076,0.0999736
0.077,0.1004772
0.078,0.1008808
0.079,0.1027128
0.08,0.103964
0.081,0.1044832
0.082,0.105476
0.083,0.1062964
0.084,0.1074048
0.085,0.108848
0.086,0.1100016
0.087,0.1124396
0.088,0.113
0.089,0.1136204
0.09,0.114536
0.091,0.1165312
0.092,0.1177
0.093,0.1181348
0.094,0.1190384
0.095,0.119926
0.096,0.1216368
0.097,0.122346
0.098,0.1230056
0.099,0.1235128
0.1,0.12406
0.101,0.124618
0.102,0.1259704
0.103,0.1278708
0.104,0.1286488
0.105,0.129178
0.106,0.1299264
0.107,0.1304408
0.108,0.131688
0.109,0.1321848
0.11,0.132684
0.111,0.1331996
0.112,0.1340384
0.113,0.1356272
0.114,0.1363104
0.115,0.136742
0.116,0.1377176
0.117,0.1379424
0.118,0.1390992
0.119,0.1399568
0.12,0.141364
0.121,0.1427424
0.122,0.1432392
0.123,0.1437284
0.124,0.1449856
0.125,0.14555
0.126,0.1464536
0.127,0.147386
0.128,0.1481
0.129,0.1490796
0.13,0.149668
0.131,0.1504432
0.132,0.1509
0.133,0.1517152
0.134,0.153912
0.135,0.154988
0.136,0.1557
0.137,0.1558932
0.138,0.1567968
0.139,0.1578004
0.14,0.158124
0.141,0.1599
0.142,0.1600336
0.143,0.1626592
0.144,0.1638552
0.145,0.1645
0.146,0.1649768
0.147,0.166046
0.148,0.1672
0.149,0.1675092
0.15,0.16842
0.151,0.1693872
0.152,0.1698888
0.153,0.1708032
0.154,0.171572
0.155,0.172258
0.156,0.1727616
0.157,0.173226
0.158,0.1736376
0.159,0.1741896
0.16,0.175428
0.161,0.1761592
0.162,0.177232
0.163,0.1777868
0.164,0.1795904
0.165,0.180082
0.166,0.1804976
0.167,0.1813072
0.168,0.1823
0.169,0.1833084
0.17,0.183824
0.171,0.1842156
0.172,0.1851344
0.173,0.1867964
0.174,0.1885264
0.175,0.18929
0.176,0.1895336
0.177,0.1905232
0.178,0.1917
0.179,0.1934332
0.18,0.193992
0.181,0.1949548
0.182,0.1958104
0.183,0.1963764
0.184,0.1967248
0.185,0.19896
0.186,0.1995696
0.187,0.2004196
0.188,0.2008536
0.189,0.2016412
0.19,0.202284
0.191,0.2030256
0.192,0.2041912
0.193,0.2049
0.194,0.2052
0.195,0.206202
0.196,0.2068112
0.197,0.2073092
0.198,0.2076536
0.199,0.2089164
0.2,0.21002
0.201,0.210618
0.202,0.2111272
0.203,0.2119928
0.204,0.2135344
0.205,0.21409
0.206,0.2147416
0.207,0.2153904
0.208,0.2161952
0.209,0.2167048
0.21,0.216956
0.211,0.2173596
0.212,0.2177896
0.213,0.2187336
0.214,0.2197408
0.215,0.220174
0.216,0.2208552
0.217,0.2213
0.218,0.2224848
0.219,0.225452
0.22,0.226876
0.221,0.2280868
0.222,0.2287984
0.223,0.2291
0.224,0.2292064
0.225,0.22971
0.226,0.2307272
0.227,0.2310344
0.228,0.2322416
0.229,0.2328244
0.23,0.23348
0.231,0.2347632
0.232,0.2353408
